,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
6816,277332906,495066576,2.0,1.0,63440.325892999994,1933454.996833
6833,277332906,1373991758,2.0,1.0,728234.198565,1933454.996833
6897,277332906,1213405462021853185,2.0,1.0,395644.10859099997,1933454.996833
6987,280552762,1125841354716696576,7.0,2.0,244346.69725300002,806650.794472
7143,283226685,576365948,1.0,2.0,8352.099265,934580.097517
7313,321752222,1055536236,3.0,6.0,26411.919368,319065.027764
7407,335361064,751852736,4.0,1.0,688617.522824,581107.48245
7427,335361064,3310729620,4.0,2.0,179777.796922,581107.48245
7495,335769776,1265853916077527042,1.0,2.0,24207.33868,346977.208416
7524,341866567,12034642,2.0,3.0,210175.768781,427064.839068
7563,341866567,1729978615,2.0,1.0,20767.631152,427064.839068
7576,341866567,819185162479144960,2.0,1.0,26603.422989,427064.839068
7585,341866567,1181986921079287809,2.0,1.0,4085.532953,427064.839068
7588,341866567,1326000340018270208,2.0,1.0,5275.400625,427064.839068
7590,341866567,1380278410736439302,2.0,1.0,27547.669304000003,427064.839068
7594,343059330,47371589,3.0,1.0,146005.134131,546327.727789
7595,343059330,75984040,3.0,6.0,82722.89892200001,546327.727789
7629,343059330,2849064914,3.0,6.0,27708.734270999998,546327.727789
7634,343059330,818660875259277313,3.0,2.0,99684.303627,546327.727789
7656,343059330,1446352422272528385,3.0,1.0,3781095.477936,546327.727789
7696,360677740,1663428859,1.0,2.0,87863.823485,409732.486339
7761,366225624,596787864,2.0,1.0,1321371.241195,647739.701046
7765,366225624,1545053600,2.0,1.0,409256.37599699997,647739.701046
7772,366225624,3187125694,2.0,1.0,15698.978986000002,647739.701046
7801,377588094,14837621,2.0,1.0,328825.166626,415939.16601
7846,377588094,1117035592565628928,2.0,5.0,42576.378188,415939.16601
7850,377588094,1286102971974025217,2.0,5.0,42576.378188,415939.16601
7855,382949896,17900758,1.0,2.0,31718.269312,173107.75834600002
7884,401738614,86425142,4.0,3.0,27069.112035000002,11046.758467
7937,408072407,884681534,1.0,10.0,35783.75528,448409.348705
